Latitude,Longitude,Temperature,Humidity,Voltage,Current,Power
42.546245,1.601554,35.01328593,1.62060306,119.0555191,3.030663292,360.8171913
23.424076,53.847818,25.90873032,57.8479175,48.72341431,4.386689783,213.7345037
33.93911,67.709953,10.46032995,64.60978362,118.0664546,2.184006806,257.8579404
17.060816,-61.796428,19.1796833,36.10856363,28.90309509,1.955580097,56.5223175
18.220554,-63.068615,35.23437948,14.92037029,106.2620712,2.360396276,250.8205971
41.153332,20.168331,11.73715617,44.38275987,38.38868557,9.251748437,355.1624617
40.069099,45.038189,10.28814417,64.26132888,18.21914138,9.971821862,181.6780323
12.226079,-69.060087,27.98954914,35.98628419,57.21970467,0.721864045,41.30484747
-11.202692,17.873887,32.22201235,57.93062391,6.945188753,2.199309624,15.27462046
-75.250973,-0.071389,46.78111161,24.9353787,103.9963077,5.24515384,545.4766329
-38.416097,-63.616672,35.53905852,31.22526528,24.54365586,4.56983769,112.1605236
-14.270972,-170.132217,37.40353734,39.15036033,86.14879218,3.873807361,333.7238253
47.516231,14.550072,11.83388198,21.79068396,21.24044694,2.52564927,53.64591931
-25.274398,133.775136,9.038584414,17.74637269,104.2490383,2.361235883,246.15657
12.52111,-69.968338,16.53688086,53.76157584,8.232161084,1.998180291,16.44934203
40.143105,47.576927,0.659042193,38.78172128,59.58094573,1.033410848,61.57159565
43.915886,17.679076,11.40564585,59.49230366,98.47047215,6.57932469,647.8692087
13.193887,-59.543198,1.042491232,63.02012718,83.77332948,4.712431702,394.7760936
23.684994,90.356331,23.59060453,31.55024908,89.82366664,1.18849615,106.755082
50.503887,4.469936,30.19016114,44.15476358,113.3682564,1.570394761,178.0329159
12.238333,-1.561593,29.82026905,38.6367798,50.57597898,1.576796992,79.74805152
42.733883,25.48583,33.14384506,31.34166803,5.163374252,4.206143643,21.71789379
25.930414,50.637772,9.051306438,18.02415101,1.572813948,2.461408147,3.871337066
-3.373056,29.918886,33.92305111,17.29238311,92.30582172,6.441347102,594.5738372
9.30769,2.315834,4.94102727,33.06196264,119.9694132,3.731706364,447.6906228
32.321384,-64.75737,3.797410025,60.96635313,22.90658317,4.010918679,91.87644231
4.535277,114.727669,44.72696919,41.8449365,112.3071042,8.062791347,905.5087479
-16.290154,-63.588653,29.16727796,16.26142262,48.72849181,9.174541576,447.0615741
-14.235004,-51.92528,9.388832621,62.16682445,33.35699825,4.468371551,149.051462
25.03428,-77.39628,33.76015409,43.93656786,106.3353929,0.151496741,16.10946547
27.514162,90.433601,26.548317,22.3150506,34.34884156,2.598983782,89.27208215
-54.423199,3.413194,24.12960171,31.78262061,99.71166302,6.310517812,629.2322255
-22.328474,24.684866,15.86705079,37.2991035,115.5294631,3.307138735,382.0719626
53.709807,27.953389,49.23931169,37.93604465,15.15380627,4.923929674,74.61627634
17.189877,-88.49765,13.52258359,49.12218576,34.28455274,0.949612257,32.55703151
56.130366,-106.346771,28.62125518,45.94719819,58.93397706,9.391418714,553.4736551
-12.164165,96.870956,36.40121582,53.85580888,115.7590523,0.11918702,13.79697649
-4.038333,21.758664,21.93085307,51.41422215,70.10791263,3.533475794,247.7246123
6.611111,20.939444,30.29702957,37.17949479,16.86181173,0.793048162,13.3722288
-0.228021,15.827659,36.58687095,22.83230939,0.79570313,5.576845557,4.437513465
